-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
AREB  212145.0S 460724.2W  982.0Areado
AREE   12856.3S 782516.7W 4005.0Arenal
ARF  R     0.0N      0.0E    0.0Arif
ARG   361258.0N 280734.0E  170.0Arkhangelos
ARGR R384800.0N 475400.0E    0.0Ardeb\=\i l-Germ\=\i
ARH  C450035.0N  11842.0E  320.0Archignac
ARI   183146.0S 701037.0W  250.0Arica
ARJM  384111.4N1205722.7W  460.0Robert W. Jensen
ARK   414752.8N 715746.8E 1280.0Arkit
ARKL  301633.6S1392020.4E  520.0Arkaroola
ARKR  423610.0N 465940.0E  750.0Arakani
ARL  C172443.2N 930704.8W    0.0
ARLS  415139.6N 741922.8E 1640.0Aral
ARM  C 81659.4N 825159.4W   10.0Puerto Armuelles
ARM2   80600.0N 825200.0W   10.0Puerto Armuelles 2
ARMA  302511.3S1513740.8E 1130.0Armidale
ARME R401856.2N 160158.3E  980.0Armento
ARMT R     0.0N      0.0E    0.0Armutlu
ARN   372057.6N1213157.6W  628.0Arnold Ranch
ARNB  355037.1N 355825.5E  810.0Al Arnab
ARNI  434000.0N1123724.6W 1553.0Argonne North
ARNY  411811.5N 740652.2W  430.0Arden House
ARO   113142.9N 425048.3E  680.0Arta Observatory
AROD R300959.0S 692827.2W 2832.0Rodeo
AROL R102614.4N 844233.0W  720.0Arenal Observatory Lodge
ARP   143216.8N1210910.8E   85.0Angono
ARPS  364611.6S1415017.9E  250.0Mount Arapiles
ARR   452203.0N 243801.0E  871.0Arges
ARRM  384555.1N1211018.5W  127.0Rickey Ranch
ARRY   13022.7S 782718.6W 2900.0Arrayan
ARS   515513.0N1022524.0E  970.0Arshan
ARSA  471501.9N 153123.5E  577.0Arzberg
ARSB  411926.4N 725855.2E 1510.0Arslanbob
ARSS  255251.6N 431411.4E  720.0Ar Rass
ART  C113115.9N 425016.1E  710.0Arta
ARTJ  321448.0N 364942.0E 1058.0Al Aritein
ARTL  432722.0N   3517.0W  210.0Arthez-de-B\'earn
ARTT   24332.0S 361654.0E    0.0Arusha (Longido)
ARU   562548.7N 583345.0E  250.0Arti
ARUT  374716.8N1132625.3W 1646.0Antelope Range
ARV   432951.6N 125627.7E  459.0Arcevia
ARVC  350737.8N1184945.6W  268.0Arvin
ARVD R432953.1N 125629.5E  461.0Arcevia
ARVI  303824.0N 351113.2E    0.0'Arava Valley (`En Yahav)
ARWM  385722.7N1210943.9W  320.0Richard P. Wilkes
AS-PAC404359.0N 783126.0W  469.0Altoona
AS01  233953.0S1335703.0E  605.0Alice Springs Array Site 1
AS02  234045.0S1335613.0E  619.0Alice Springs Array Site 2
AS03  234028.0S1335511.0E  643.0Alice Springs Array Site 3
AS04  233935.0S1335545.0E  666.0Alice Springs Array Site 4
AS05  233857.0S1335651.0E  683.0Alice Springs Array Site 5
AS06  233851.0S1335817.0E  663.0Alice Springs Array Site 6
AS07  233956.0S1335811.0E  614.0Alice Springs Array Site 7
AS08  234053.0S1335736.0E  594.0Alice Springs Array Site 8
AS09  234158.0S1335629.0E  591.0Alice Springs Array Site 9
AS10  234149.0S1335450.0E  607.0Alice Springs Array Site 10
AS11  234042.0S1335352.0E  608.0Alice Springs Array Site 11
AS12  233959.0S1335416.0E  607.0Alice Springs Array Site 12
AS13  233907.0S1335340.0E  604.0Alice Springs Array Site 13
AS14  233906.0S1335437.0E  620.0Alice Springs Array Site 14
AS15  233808.0S1335444.0E  669.0Alice Springs Array Site 15
AS16  233813.0S1335548.0E  676.0Alice Springs Array Site 16
AS17  233952.0S1335930.0E  615.0Alice Springs Array Site 17
AS18  234124.0S1335851.0E  592.0Alice Springs Array Site 18
AS19  234216.0S1335745.0E  577.0Alice Springs Array Site 19
ASA   434612.0N1422224.0E  111.0Asahikawa (Asahigawa)
ASAJ  440659.4N1423548.6E  220.0Asahikawa Outpost (Kamias)
ASAL R323527.9S 685005.6W  972.0Salagasta
ASAO  343256.4N 500126.4E 2217.0\=Ashti\=an
ASAR  233959.0S1335416.0E  607.0Alice Springs Array Beam Reference Point
ASAT R404137.0N 304438.0E  100.0A\c sa\u gi\c arikuru
ASB  C512137.6N1791450.7E    0.0Amchitka
ASBA  384313.0N 271931.0W  675.0Santa Barbara
ASC  C512747.1N1790930.0E    0.0Amchitka
ASCB R370221.6N  20020.4W    0.0Sierra Cabrera
ASCN   75557.7S 142136.4W  173.0Ascension (Butt Crater)
ASD  C512326.5N1792031.6E    0.0Amchitka
ASE  C122828.8N 871125.2W    0.0Aserradero
ASF  R321200.0N 365400.0E    0.0Tel-Alasfar
ASG   351849.7N1390140.4E  386.0Minamiashigara
ASH   375700.0N 582100.0E  220.0Ashgabat (Ashkhabad)
ASH19R 74930.0S 143607.2W -125.0Ascension Island Hydrophone Array Site 19
ASH21R 75913.2S 142942.0W -810.0Ascension Island Hydrophone Array Site 21
ASH23R 80410.9S 142503.0W -841.0Ascension Island Hydrophone Array Site 23
ASH24R 80320.5S 142656.4W -777.0Ascension Island Hydrophone Array Site 24
ASH25R 85647.4S 143900.0W-1646.0Ascension Island Hydrophone Array Site 25
ASH26R 85638.4S 143704.8W-1661.0Ascension Island Hydrophone Array Site 26
ASH27R 75110.8S 142157.6W -770.0Ascension Island Hydrophone Array Site 27
ASH29R 75656.4S 141557.6W -824.0Ascension Island Hydrophone Array Site 29
ASHG R231536.0N 313936.0E  200.0
ASHJ  322038.4N 373708.4E 1100.0Jabal al Ash\=aqif
ASI  C311948.0N 350542.0E  850.0Mount Amassa
ASJ   325242.0N1310430.0E 1143.0Asosan
ASK   602858.8N  51142.0E   50.0Ask\o y
ASKD  233934.8N 322304.8E    0.0Sinn el Kadd\^ab
ASL   222013.0N 313658.0E    0.0Abu Simbel
ASM   362400.0N1383400.0E    0.0Asama
ASME  152100.0N 385548.0E 2420.0Asmera
ASMM  384924.0N1204100.0W 1214.0Slate Mountain
ASMO  372128.8N  34434.8W 1170.0Sierra Morrones
ASO  C325300.0N1310100.0E  568.0Aso
ASOR  284521.0N 774620.0E    0.0Ausora
ASP  C234042.0S1335322.0E  600.0Alice Springs
ASPA  234001.0S1335405.0E  555.0Alice Springs
ASPF  434605.4N  71529.9E  850.0Aspremont
ASR   460902.4N1213533.6W 1280.0Mount Adams--Stagman Ridge
ASRM C382951.7N1211217.3W   52.0Slough House Road
ASRS F                          Altay-Sayan Regional Seismological Center, Russi
ASS   430346.7N 123906.3E  805.0Assisi
AST  C 23700.0S 284400.0E 1648.0Astrida
ASTB R235659.9S 642902.4W 1479.0Santa B\'arbara
ASTOPF                          (keyword for telegraphic format)
ASU   332458.8N1115604.8W  354.0Arizona State University
ASW   240441.4N 325319.7E  132.0Aswan
ASZ   324300.0N1330100.0E   30.0Ashizuri
AT-                             (Alternate Abbreviation for AT-NV)
AT-NVC392853.0N1170426.0W 1981.0Austin
AT1  C513954.0N1773830.0W   61.0West Kanaga
AT2  C513948.0N1775548.0W   99.0South Tanaga
AT3  C514824.0N1774912.0W  350.0North Tanaga
ATA   112725.9N 431229.9E   50.0Atar
ATAF  355225.2N  41637.8E 1000.0Djebel Tarf
ATAH R 70003.6S 782342.0W 3270.0Atahualpa
ATAQ R143200.0N 464830.0E    0.0`At\=aq
ATB    31716.0S 521330.0W    0.0Altamira
ATC  C561348.0N1212700.0W    0.0Attachie
ATD   113148.0N 425049.2E  450.0Arta Tunnel
ATDB  211724.0S 425138.1W    0.0Astolfo Dutra
ATE   430509.0N   4201.2W  480.0Arette
ATEJ  365454.0N  40050.4W 1480.0Tejeda
ATG   185244.4S 461116.8E 1520.0Ambohiby
ATH   375820.0N 234300.0E   95.0Athens Observatory
ATI   161016.0S 733713.0W  300.0Atico
ATIP R     0.0N      0.0E    0.0will be deleted
ATKA  521209.7N1741143.8W   55.0Atka Island
ATKR  641048.0N1450800.0E  700.0Artyk
ATL   332600.0N 842015.0W  272.0Atlanta
ATM   383354.0N1393942.0E  180.0Atsumi
ATN   380930.0N 152745.0E 1124.0Antennamare (Messina)
ATO   354732.0N 980710.2W  364.0Altona
ATOT  281011.4N 335137.2E    0.0Gabel Atot
ATPA C403436.2N 753519.0W   61.0Allentown
ATPZ  363148.0N  21836.0E  156.0Tipaza
ATR  R565942.0N 155504.8E  119.0Alsterbro
ATR1 C305812.0N 343748.0E  200.0Atar 1
ATT  C425009.0N 781139.0W  470.0Attica
ATU                             (Alternate abbreviation for ATH)
ATX  C301852.0N 975200.0W  280.0Austin
ATZ   324917.8N 351611.0E  510.0Mount Atzmon
AU2  R592213.0N1532241.0W  195.0Augustine Island
AUC   365136.0S1744641.0E   79.0Auckland
AUD   592145.5N1532535.3W 1208.0Augustine Domo
AUE   592132.4N1532219.8W  172.0Augustine Island
AUF  C592316.2N1532732.4W  165.0Augustine Flow
AUG  F                          (keyword for telegraphic format)
AUGU F                          (keyword for telegraphic format)
AUGUSF                          (keyword for telegraphic format)
AUH   592150.0N1532635.5W  890.0Augustine Dome H
AUI   592006.6N1532537.6W  293.0Augustine Island
AUK    84542.0S1604212.0E   91.0Auki
AUL   592255.8N1532604.2W  360.0Augustine Lava Flow
AUM  C592215.6N1532110.2W  105.0Augustine Mound
AUP   592144.4N1532513.8W 1033.0Augustine Pinnacle
AUR  C413500.0N 700700.0E    0.0Aurakhmat
AURF  435314.4N  71939.0E 1040.0Auriere
AUS  C301700.0N 974700.0W    0.0Austin
AUSP R321325.0S 692314.3W 2502.0Uspallata
AUST F                          Australian Geological Survey Org., Canberra
AUT   293957.6N 311048.0E    0.0El`Aiy\^at
AUTN  435943.8N  72539.0E 2065.0L'Aution
AUW   592212.3N1532814.9W  276.0Augustine West
AVC  C375457.5N1184357.0W 2225.0Adobe Valley
AVE   331753.0N  72448.0W  230.0Averroes
AVF   464726.0N  32109.5E  225.0Avril sur Loire
AVFE R303935.4S 672717.4W  868.0Valle F\'ertil
AVFP R464731.0N  32125.0E  200.0Avril sur Loire
AVH   531554.0N1584416.8E  900.0Avacha
AVIZ R332823.3S 683058.2W 1019.0Vizcacheras
AVN  C415301.3N   4506.5E  630.0Avellanes
AVNC  353726.4N 823151.6W  943.0Asheville
AVO   342235.0S1503654.0E  532.0Avon
AVOE  362404.0N1383420.0E 1406.0Asama Observatory
AVOW  433639.8N1104850.3W 2036.0Apres Vouz Peak
AVRM  390129.3N1211604.8W   91.0Valley Road Site
AVY  C185513.2S 474351.8E 1716.0Angavokely
AWA  C512228.5N1791509.6E    0.0Amchitka
AWAL  232245.0N 323457.0E    0.0West Alisa
AWDQ  240252.1S1511856.5E  110.0Awoonga Dam 3
AWH   523748.0N   5704.0E   60.0Whinburgh
AWI  C170834.8N 615006.0W   23.0Antigua
AWIB F                          Alfred Wegener Institute, Bremerhaven
AWKL  232530.6N 322649.2E    0.0West Kalabsha
AWP  F                          (phase code designation)
AWU  C     0.0N      0.0E    0.0Awu
AX-                             (Alternate Abbreviation for AX-AL)
AX-ALC325008.0N 861035.0W  183.0Alexander City
AX2                             (Alternate Abbreviation for AX2AL)
AX2ALC324638.0N 860748.0W  213.0Alexander City
AXZ   451602.0S1691952.0E  260.0Alexandra
AY-                             (Alternate Abbreviation for AY-SD)
AY-SDC433140.0N 990630.0W  610.0Academy
AYA  C133746.0N 891722.0W    0.0Ayagualo
AYAN  282855.8N 770736.0E    0.0Aya Nagar
AYE   170047.9S 714018.8W  240.0Ayenquera
AYK   360908.0N 331937.0E   50.0Ayd\i nc\i k
AYN   285157.6N 360003.6E  770.0Al `Uyaynah
AYNT R353425.4N  85545.3E 1100.0El Ayoun
AYS   365343.8N 313425.0E  565.0Ayseler
AYT  R294214.4N 310910.8E  160.0
AYUS  281120.0N 351608.0E    0.0`Ayn\=unah
AYVM C191004.2N 985715.0W 2924.0Ayaqueme
AZ-                             (Alternate Abbreviation for AZ-TX)
AZ-TXC352548.0N1015550.0W  988.0Amarillo
AZ0  F                          (keyword for telegraphic format)
AZ1  F                          (keyword for telegraphic format)
AZ2  F                          (keyword for telegraphic format)
AZ3  F                          (keyword for telegraphic format)
AZ4  F                          (keyword for telegraphic format)
AZ5  F                          (keyword for telegraphic format)
AZ6  F                          (keyword for telegraphic format)
AZ7  F                          (keyword for telegraphic format)
AZ8  F                          (keyword for telegraphic format)
AZ9  F                          (keyword for telegraphic format)
AZAP R241328.2S 650358.7W 2159.0Zapla
AZER F                          Institute of Geology, Azerbaijan
AZI  C415918.4N 132608.4E    0.0Avezzano
AZJ   352838.0N1361926.0E  370.0Azai
AZL  R234312.0N 924348.0E  750.0Aizawl
AZO  C155757.6N 972428.8W    0.0
AZU    74730.0N 801626.4W   14.0Pen\'insula de Azuero
AZUC   34138.4N 760809.6W 3680.0Az\'ucar
B1NU  682742.8N 713516.8W  181.0Baffin Island 1
B2NU  685517.8N 731147.8W  157.0Baffin Island 2
B5GA C130401.2N 593543.8W   35.05 Glenshane Apartments
BA-                             (Alternate Abbreviation for BA-WS)
BA-WSC445358.0N 921620.0W  335.0Baldwin
BAA   343530.0S 582900.0W   25.0Buenos Aires
BAB  C300717.0N  21110.0W    0.0Beni-Abbes
BAC   463400.0N 265400.0E  167.0Bacau
BACH  332110.0S 702930.0W  820.0Lo Barnechea
BACM  441642.0N 100419.8E  490.0
BAD   461412.0N 131436.0E  640.0Bernadia
BADA  283357.6N 345743.2E  495.0Al Bad`
BADT  405108.4N 290703.0E  175.0B\"uy\"ukada
BAE   155028.0S 474912.0W 1200.0Brasilia
BAE1 R153900.0S 475649.0W 1200.0Brasilia Array Site E1
BAE2 R153900.0S 475649.0W 1200.0Brasilia Array Site E2
BAE3 R153925.0S 475535.0W 1200.0Brasilia Array Site E3
BAE4  153951.0S 475411.0W 1260.0Brasilia Array Site E4
BAE5 R154021.0S 475251.0W 1200.0Brasilia Array Site E5
BAEE R154419.0S 473712.0W 1200.0Brasilia Array Site EE
BAF   475005.0N  65943.0E 1025.0Belacker
BAF* C162500.0N1203600.0E 1500.0Baguio
BAG   162439.0N1203447.0E 1507.0Baguio City
BAGN R272400.0N 560748.0E    0.0Bandar `Abb\=as
BAH  C212022.9N1580437.8W    0.0Barrette
BAHL  514412.8N  74918.1E   92.0Ahlen
BAI   410712.0N 165200.0E    0.0Bari
BAI2  413033.0N 143311.0E  745.0Baranello
BAIF  500333.0N  41228.0E  215.0Baives
BAK   402300.0N 495400.0E  -12.0Bak\i  (Baku)
BAKI R 10218.0S1362046.0E    0.0Biak
BAL  C303623.4S1164225.8E  300.0Ballidu
BALA  551137.3N1624708.6W  329.0Baldy Mountain
BALB  393824.0N 275248.0E  120.0Bal\i kesir
BALI  454650.0N 105145.0E 1751.0Baldo
BALM  610210.2N1422040.2W 1300.0Baldy
BALST 472008.9N  74142.0E  910.0Balsthal
BALT  413203.0N 332309.0E 1746.0Daday
BAM   303957.6N  90957.6W    0.0Barrage Abdel Moumen
BAMF  144856.4N 610854.0W  670.0Morne Balai
BAN  C511018.0N1153330.0W 1500.0Banff
BANM R380305.4S1441459.3E  200.0Bannockburn
BANO  450111.4N 775540.9W  360.0Bancroft
BANR  452257.0N 210807.8E   80.0Banloc
BAO   153805.6S 475929.4W 1211.0Brasilia Array
BAP  R383135.4N1124742.0W 2387.0Bailey Peak
BAP* C202744.0N1215810.3E   10.0Basco
BAPM  361033.0N1213833.6W 1219.0Anderson Peak
BAR   324048.2N1164019.7W  496.0Barrett
BARA  212624.0N 392815.6E  250.0Ba\c hrah
BARB  211315.6S 434801.8W 1030.0Barbacena
BARC   63836.3N 731035.1W 1859.0Barichara
BARS  424912.0N 214930.0E    0.0Barje
BART  374637.8N 251008.2W  887.0Pico Bartolomeu
BARV   95902.0N 704444.2W  615.6Barcelona
BAS  C473224.0N  73458.5E  309.0Basel (Basle)
BAS1 R153922.0S 475959.0W 1200.0Brasilia Array Site S1
BAS2 R154041.0S 480025.0W 1200.0Brasilia Array Site S2
BAS3 R154155.0S 480053.0W 1200.0Brasilia Array Site S3
BAS4 R154309.0S 480120.0W 1200.0Brasilia Array Site S4
BAS5 R154431.0S 480150.0W 1200.0Brasilia Array Site S5
BASE R155726.0S 480414.0W 1200.0Brasilia Array Site SE
BASV F                          British Antarctic Survey, Cambridge, UK
BAT  C373600.0N 620700.0E    0.0Bayram-Ali
BATC  332732.4N1155027.6W  -18.0Bat Cave Butte
BATI R101200.0S1234200.0E    0.0Baumata
BAUT C103023.4N 662855.2W 1976.0Bautismo
BAUV   85635.9N 680229.4W  106.0El Ba\'ul
BAV   371319.4N 802530.0W  622.0Blacksburg
BAVM  373845.0N1210147.4W  604.0Antelope Valley
BAW   410712.0N 434800.0E 2160.0Bavra
BAW1  153742.0S 480046.0W 1200.0Brasilia Array Site W1
BAW2 R153717.0S 480107.0W 1200.0Brasilia Array Site W2
BAW3 R153646.0S 480327.0W 1200.0Brasilia Array Site W3
BAW4 R153619.0S 480446.0W 1200.0Brasilia Array Site W4
BAWE  153528.0S 480450.0W 1200.0Brasilia Array Site WE
BAY  C530400.0N1053100.0E    0.0Bayanday
BAYK R504912.0N 753300.0E    0.0Bayan-Aul
BAYN  292812.0N 811200.0E 3050.0Bayana
BB-                             (Alternate Abbreviation for BB-PA)
BB-PAC411056.0N 763307.0W  305.0Bloomsburg
BBA  R315443.2N  92815.6W    0.0Boulbra
BBB   521104.9N1280647.9W   14.0Bella Bella
BBC  C341430.0N1165430.0W 2060.0Big Bear
BBD  C392046.0N 754036.1W   18.0Blackbird State Forest
BBEB R     0.0N      0.0E    0.0Bay Bridge East
BBG   345226.4N 834839.6W 1355.0Brasstown Bald
BBGM  363528.7N1210131.1W 1216.0Big Mountain
BBH   550759.9N  25547.6W  216.0Bruntsheil
BBI  C441034.2N1112543.8W 1950.0Big Bend
BBJ   182258.8N 771601.2W  641.0Bamboo Saint Ann
BBL   153134.3N 612811.9W  365.0Barbers Block (Morne Espagnol)
BBLS  435204.8N 192436.0E    0.0Bajina Basta - Lazici
BBM  C482235.0N1151939.0W  719.0Big Bend
BBN  C342428.0N1064444.3W 1524.0Black Butte
BBNM                            (Alternate Abbreviation for SBT)
BBO  C640716.2N1611818.0W  244.0Besboro Island
BBOO  324839.6S1360323.4E  285.0Buckleboo
BBOR  425312.5N1224046.7W 1671.0Butler Butte
BBP   202627.6N1215750.4E   40.0Basco
BBR   381539.0N1223259.4W  137.0Beebe Ranch
BBS   472752.0N  73033.0E  700.0Basel--Blauen
BBSP  130616.1N 592728.4W   35.0Saint Philip
BBSR  322216.3N 644146.3W  -25.4Bermuda Biological Station for Research
BBT   353852.8N  54344.4W   60.0Barrage Ibn Batouta
BBTK  395032.0N 324537.0E 1200.0Belba\c s\i
BBTN C362313.2N 892725.2W   88.0Blue Bank Bayou
BBTS R143940.8N 163159.6W    0.0Babate
BBU   261254.0N 502724.0E    0.0Al Budayyi`
BBW   414245.0S1735242.0E  250.0Black Birch
BC01  630342.8N1414940.4W  746.6Beaver Creek Array Site 1
BC02  630238.4N1414807.6W  563.7Beaver Creek Array Site 2
BC03                            (Alternate Abbreviation for BCA3)
BC04  630451.2N1414606.2W  790.8Beaver Creek Array Site 4
BC05  630339.6N1414512.2W  908.7Beaver Creek Array Site 5
BC2   333925.2N1152740.2W 1185.0Big Chuckwalla Mountains 2
BC3*                            (Alternate Abbreviation for BCA3)
BCA   412642.1N 413720.3E  500.0Bor\c cka
BCA3  630356.2N1414706.4W  846.9Beaver Creek Array Site 3
BCAO C 42600.6N 183207.0E  336.0Bangui
BCAR  630356.2N1414706.4W  846.9Beaver Creek Array Beam Reference Point
BCB  C483806.5N1153243.4W 1756.0Big Creek Baldy
BCC   345622.8N1201019.2W  610.0Colson Canyon
BCCH  144956.0N 244137.0W  660.0Brava--Cachaco
BCD   342207.2N1192037.8W  213.0Casitas Dam
BCG   160506.0N 613710.8W  442.0Bois Riant Capesterre
BCGM  364233.0N1212036.0W  305.0Cienega Road
BCH   351106.0N1200503.0W 1140.0Branch Mountain
BCHM C360315.5N1174341.5W 1265.0Black Canyon North
BCI   422159.8N 200403.0E  500.0Bajram Curri
BCK   372738.9N 303520.3E  860.0Bucak
BCKR  374151.0N1182219.2W 1634.0Birch Creek
BCL  C342445.0N1192140.2W  177.0Casitas Lake
BCM  C455007.8N1123055.2W 1975.0Basin Creek
BCN  C355851.0N1145002.0W  776.0Boulder City
BCO                             (Alternate Abbreviation for RTCB)
BCP  C162504.8N1203636.0E 1500.0Baguio City
BCPH  162251.6N1203451.6E 1500.0Baguio City Dairy Farm
BCPM  595712.0N1393806.0W  396.0Bancas Point
BCR  C 70110.0N 731035.0W  750.0Bucaramanga
BCS  C325846.8N 800355.2W    9.0Baptist College of Charleston
BCS* C154557.5S 480219.5W 1255.0Brasilia Array
BCSO R394738.4N 824152.8W  256.0Bloom-Carroll Schools
BCT  C412936.0N 732302.0W   69.0Brookfield
BCU  C393554.0N1102215.0W 2438.0Bear Canyon
BCWM  361824.0N1213357.6W 1518.0Chews Ridge
BCX   422006.0N 711013.8W   61.0Boston College (Newton)
BCYI  441839.0N1132418.6W 2194.0Bear Canyon
BCZ   460024.0S1675023.0E  120.0Braida Crags
BD-                             (Alternate Abbreviation for BD-PA)
BD-PAC400800.0N 783028.0W  366.0Bedford
BDA  C360055.5N1144411.9W  237.0Boulder Dam
BDAS  282554.1N 350605.0E  360.0Al Bad`
BDB  C430354.0N    854.0E  561.0Bagneres de Bigorre
BDBC  561027.0N1221657.0W  700.0Bennett Dam
BDC  C400018.0N1050929.0W 1625.0Boulder
BDF   153949.8S 475412.0W 1260.0Brasilia
BDFB  153828.3S 480050.9W 1095.0Brasilia
BDG   461404.8N1191903.0W  475.0Badger Mountain
BDH   131210.8N 593520.4W  308.0Highclere
BDHA  135828.2N 453400.0E    0.0Al Bay\c d\=a'
BDI   440345.0N 103549.0E  830.0Bagni di Lucca
BDID  444754.0N1165306.0W 1400.0Brownlee Dam
BDL   544810.8N  25618.6W  157.0Dobcross Hall
BDM   375714.3N1215155.9W  219.8Black Diamond Mine
BDMQ  260644.3S1512639.8E  320.0Boondooma Dam
BDN  C535400.0N1100600.0E 1000.0Bodon
BDNM  342945.6N1065447.4W 1505.0Bernardo
BDO  C 94044.0S1505055.1E    1.0Budoia
BDP  C631352.2N1491533.6W  709.0Broad Pass
BDRN  332027.0N 361834.1E  965.0Badr\=an
BDS   130845.6N 593733.6W  110.0Barbados (Husbands)
BDSN F                          Berkeley Digital Seismograph Network
BDT   171439.6N 990010.8E    0.0Bhumibol Dam
BDU  C405227.0N1113202.0W 2198.0Big Dutch Hollow
BDV   421700.4N 184940.4E  385.0Budva
BDW  C424634.2N1093405.8W 2190.0Boulder
BE-                             (Alternate Abbreviation for BE-FL)
BE-FLC285419.0N 820352.0W   21.0Belleview
BEA  C365300.0N1164600.0W    0.0Beatty
BEAW  431503.4N1103648.2W 2960.0Beaver Mountain
BEB    12700.0S 482642.0W   15.0Bel\'em
BEC  C322246.0N 644052.0W   41.0Bermuda--Columbia
BECU C  2828.8S 783546.2W 3320.0Ecuador Network
BED  C384912.0N 770032.0W    0.0Bald Eagle
BEE   260100.0N 503118.0E    0.0Al Areen
BEG   505740.8N  63920.5E  -95.0Bergheim
BEGEVF                          (Keyword for telegraphic format)
BEH   660054.0N1494842.0W    0.0Bench
BEHM                            (Alternate Abbreviation for EKH)
BEI   420700.0N1114656.3W 1859.0Bear River Range
BEK  C391547.4N 961158.8W  349.0Belvue
BEKR  395200.1N1202131.0W 1743.0Beckwourth
BEL  C515000.0N 204900.0E  180.0Belsk
BELR F                          Belarus Inst. of Geochemistry and Geophysics
BEM   472920.0N 945206.0W  426.0Bemidji
BEMM                            (Alternate Abbreviation for EMT)
BEN  C321611.0N 645113.0W    0.0Bermuda--Navy
BENE C401300.0N 963609.0W  396.0Beatrice
BENN  353357.6N 813939.6W  878.0Benn Knob
BENR  374255.8N1183424.0W 2490.0Benton
BENWA 463107.8N1194301.2W  335.0Benson Ranch
BEO   444917.2N 202719.2E  129.0Beograd (Belgrade)
BEP  C331700.0N1312900.0E   75.0Beppu
BER   602301.7N  52002.0E   50.0Bergen
BERA  404209.7N 195657.8E  100.0Berat
BERF  431846.8N  54126.5E 1030.0Bertagne
BERI                            (Alternate Abbreviation for BAD)
BERL  424128.8N 732328.8W  549.0Berlin
BERN  501355.7N 123042.3E  635.0Bernov
BERNI 462448.2N 100123.2E 2310.0Berninapass
BERT  341427.6N  90042.6E  320.0Berda
BES   471459.0N  55915.0E  311.0Besancon
BET  C604828.0N1614618.0W    0.0Bethel
BETC   24053.0N 752628.6W  540.0Betania
BETH C381448.1N 835111.2W  278.0Bethel
BETV   92246.2N 704022.8W  638.6Betijoque
BEU  C483501.8N  92455.2E  444.0Beuren
BEV  C182706.0N 771800.0W  123.0Beverley
